Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2017-03-30 00:00:00	1042.041	1053.052	1023.022	1041.318	63.01	65295.87	1036.25
2017-03-31 00:00:00	1041.318	1093.65	1041.318	1082.631	88.5	93871.29	1060.65
2017-04-01 00:00:00	1082.444	1100.099	1071.069	1096.262	43.87	47631.04	1085.74
2017-04-02 00:00:00	1096.095	1141.14	1078.319	1108.906	139.33	153297.59	1100.24
2017-04-03 00:00:00	1108.906	1162.161	1102.111	1151.15	130.28	148489.32	1139.78
2017-04-04 00:00:00	1151.15	1164.63	1125.124	1143.915	79.43	90988.31	1145.51
2017-04-05 00:00:00	1143.915	1149.034	1115.078	1140.498	79.65	89968.45	1129.58
2017-04-06 00:00:00	1138.403	1221.22	1138.316	1196.585	111.19	131350.38	1181.27
2017-04-07 00:00:00	1195.31	1215.214	1179.078	1196.635	67.15	80239.75	1194.96
2017-04-08 00:00:00	1196.635	1208.848	1174.173	1190.879	43.82	52220.81	1191.62
2017-04-09 00:00:00	1190.879	1230.14	1181.611	1216.866	50.03	60377.72	1206.83
2017-04-10 00:00:00	1216.866	1230.199	1207.706	1220.719	33.47	40816.58	1219.45
2017-04-11 00:00:00	1220.719	1245.244	1207.531	1233.632	31.44	38577.14	1226.85
2017-04-12 00:00:00	1236.547	1239.238	1222.221	1228.227	43.76	53827.53	1230.06
2017-04-13 00:00:00	1228.227	1241.24	1167.666	1185.184	44.68	53829.99	1204.86
2017-04-14 00:00:00	1185.184	1219.718	1185.174	1208.713	41.18	49591.68	1204.31
2017-04-15 00:00:00	1208.713	1218.911	1190.64	1194.982	27.96	33767.19	1207.9
2017-04-16 00:00:00	1195.703	1218.217	1192.127	1213.712	21.44	25939.7	1209.62
2017-04-17 00:00:00	1213.712	1241.727	1206.706	1241.24	52.75	64672.57	1225.98
2017-04-18 00:00:00	1241.24	1280.579	1237.737	1269.316	62.92	79377.69	1261.64
2017-04-19 00:00:00	1269.316	1291.163	1258.257	1264.542	43.59	55248.27	1267.49
2017-04-20 00:00:00	1264.726	1326.096	1261.26	1306.856	44.06	56640.49	1285.43
2017-04-21 00:00:00	1307.096	1335.835	1307.096	1329.328	43.78	57783.08	1319.87
2017-04-22 00:00:00	1329.328	1333.662	1294.452	1316.549	34.9	45884.38	1314.82
2017-04-23 00:00:00	1313.396	1313.396	1270.067	1284.174	24.49	31346	1279.78
2017-04-24 00:00:00	1284.174	1289.713	1259.002	1280.029	43.14	55023.97	1275.62
2017-04-25 00:00:00	1279.52	1311	1275.745	1304.89	35.18	45436.46	1291.6
2017-04-26 00:00:00	1304.331	1342.284	1296.75	1330.95	51.03	67444.1	1321.58
2017-04-27 00:00:00	1328.25	1376.444	1323.442	1367.412	58.37	78803.46	1349.97
2017-04-28 00:00:00	1369.425	1377.5	1301.5	1342.635	67.45	90035.09	1334.79
2017-04-29 00:00:00	1342.635	1353	1325.534	1332.029	55.97	75179.13	1343.21
2017-04-30 00:00:00	1331.574	1348.177	1312.74	1342.295	52.6	69964.71	1330.07
2017-05-01 00:00:00	1341.809	1468.885	1337.425	1429.091	93.92	131581.97	1401.07
2017-05-02 00:00:00	1429.091	1497.964	1415.815	1459.683	60.81	88572.49	1456.66
2017-05-03 00:00:00	1459.683	1500.758	1446.538	1500.758	42.89	62920.24	1466.9
2017-05-04 00:00:00	1500.029	1552.1	1425.875	1498.805	70.13	106290.6	1515.56
2017-05-05 00:00:00	1499.645	1552.1	1415	1440.222	84.15	127599.78	1516.41
2017-05-06 00:00:00	1443.64	1518.066	1412.889	1492.47	117.6	173655.97	1476.67
2017-05-07 00:00:00	1492.47	1559.25	1467.631	1536.57	132.93	198940.47	1496.57
2017-05-08 00:00:00	1535.152	1615.449	1535.152	1600.036	91.16	144679.29	1587.13
2017-05-09 00:00:00	1600.036	1774.47	1600.036	1716.96	61.76	106485.66	1724.1
2017-05-10 00:00:00	1727.25	1752.729	1622	1735.807	101.99	174975.13	1715.63
2017-05-11 00:00:00	1735.807	1833.971	1699.547	1790.267	94.36	168327.32	1783.91
2017-05-12 00:00:00	1795	1827.426	1679.425	1712.915	79.52	139415.95	1753.2
2017-05-13 00:00:00	1708.176	1833.21	1627.23	1794.876	73.79	126726.44	1717.42
2017-05-14 00:00:00	1797.625	1820.28	1750.453	1790.311	60.45	108191.83	1789.81
2017-05-15 00:00:00	1790.311	1805	1695.284	1744.654	79.05	137040.94	1733.65
2017-05-16 00:00:00	1749.708	1775	1699.125	1765.415	87.13	151431.86	1738.07
2017-05-17 00:00:00	1759.407	1867.56	1728.075	1844.053	108.52	197477.59	1819.69
2017-05-18 00:00:00	1841.95	1950	1824.516	1909.915	68.1	127072.93	1865.92
2017-05-19 00:00:00	1910.058	1950	1870.05	1930.6	53.64	103670.86	1932.61
2017-05-20 00:00:00	1937.495	2038.95	1898.361	2038.95	37.03	72952.11	1969.86
2017-05-21 00:00:00	2038.95	2068.5	1965.075	2002.604	73.1	147605.02	2019.33
2017-05-22 00:00:00	2010	2223.504	2010	2061.926	62.84	133369.99	2122.45
2017-05-23 00:00:00	2092.905	2225.011	2092.905	2219.781	32.48	70749.92	2178.29
2017-05-24 00:00:00	2225.074	2435.76	2211.111	2364.12	62.95	144804.66	2300.42
2017-05-25 00:00:00	2364.12	2755.04	2106.181	2243.15	155.62	375907.34	2415.55
2017-05-26 00:00:00	2243.15	2517.728	1960.98	2162.79	219.58	492561.33	2243.17
2017-05-27 00:00:00	2167.532	2223.865	1563.709	1994.492	341.81	658760.49	1927.27
2017-05-28 00:00:00	1994.492	2228.94	1903.429	2085.421	192.81	400527.7	2077.35
2017-05-29 00:00:00	2087.957	2276.645	1800	2193.98	102.41	219528.16	2143.68
2017-05-30 00:00:00	2193.9	2300	2091.003	2142.668	60.21	132593.81	2202.2
2017-05-31 00:00:00	2139.999	2258.493	2105.008	2212.263	41.96	91705.17	2185.63
2017-06-01 00:00:00	2215.999	2378.001	2210.001	2322.469	63.68	147865.53	2321.98
2017-06-02 00:00:00	2316	2427.498	2300.102	2427	35.43	83371.85	2352.89
2017-06-03 00:00:00	2423	2494.302	2360.861	2467.166	39.35	95835.62	2435.29
2017-06-04 00:00:00	2475.393	2504.9	2409.991	2460.032	38.07	94153.75	2473.24
2017-06-05 00:00:00	2469.499	2637	2469.499	2637	44.69	113989.06	2550.81
2017-06-06 00:00:00	2637	2846.999	2617.491	2757.112	95.44	259797.52	2722.15
2017-06-07 00:00:00	2758	2774.5	2583.347	2641.999	46.36	124926.86	2694.8
2017-06-08 00:00:00	2641.999	2718.199	2586.001	2718.199	40.18	106773.37	2657.61
2017-06-09 00:00:00	2715.101	2761.5	2685.1	2731.699	33.62	91653.39	2726.2
2017-06-10 00:00:00	2725	2854.999	2721.374	2818.726	43.04	120172.52	2791.94
2017-06-11 00:00:00	2818.726	2885.999	2790.001	2861.001	43.97	124589.6	2833.42
2017-06-12 00:00:00	2865.978	2889.002	2410	2607.948	99.39	266578.62	2682.06
2017-06-13 00:00:00	2607.948	2725.379	2600.442	2675.374	45.69	122386.21	2678.37
2017-06-14 00:00:00	2675.374	2725	2388.7	2501.999	73.46	190483.8	2592.89
2017-06-15 00:00:00	2501.999	2515.513	2255	2479.286	111.39	266893.25	2395.94
2017-06-16 00:00:00	2474.783	2511.89	2402.393	2481.591	46.79	115410.76	2466.52
2017-06-17 00:00:00	2471.871	2584.88	2425.392	2559.4	61.14	154225.76	2522.63
2017-06-18 00:00:00	2557.051	2566.195	2410.011	2471.095	47.94	118973.88	2481.9
2017-06-19 00:00:00	2471.095	2530.051	2457.33	2518.336	50.82	126998.41	2499.03
2017-06-20 00:00:00	2518.5	2730.307	2518.5	2683.551	62.57	164279.53	2625.59
2017-06-21 00:00:00	2683.551	2738.339	2616.803	2646.003	59.51	158359.58	2661.01
2017-06-22 00:00:00	2646.003	2688.203	2601.996	2674.449	38.93	103454.79	2657.59
2017-06-23 00:00:00	2674.449	2696.602	2648.101	2655.007	25.87	69133.36	2672.58
2017-06-24 00:00:00	2655.007	2679.287	2514.521	2557.667	44.83	116528.62	2599.47
2017-06-25 00:00:00	2556.971	2632.793	2490	2539.536	40.25	103271.99	2565.49
2017-06-26 00:00:00	2540.1	2560	2322	2421.822	70.04	170764.25	2438.11
2017-06-27 00:00:00	2421.822	2491	2316	2491	57.23	137194.98	2397.36
2017-06-28 00:00:00	2491	2525	2421.15	2503.643	40.42	100047.9	2475.39
2017-06-29 00:00:00	2503.643	2518.02	2450	2483.893	26.47	65828.17	2487.2
2017-06-30 00:00:00	2483.893	2492.998	2385.162	2404.238	25.52	62741.42	2458.95
